event,time
licks,2694.2
licks,2694.6
licks,2694.8
licks,2695.2
licks,2695.2
licks,2695.6
licks,2695.8
licks,2696.0
licks,2696.0
licks,2696.2
licks,2696.4
licks,2696.6
licks,2696.6
licks,2696.8
licks,2697.0
licks,2697.2
licks,2697.4
licks,2697.6
licks,2700.6
licks,2708.6
licks,2709.4
licks,2709.8
licks,2711.0
licks,2711.0
licks,2711.4
licks,2711.6
licks,2711.6
licks,2711.8
licks,2711.8
licks,2712.0
licks,2712.2
licks,2712.4
licks,2712.4
licks,2716.0
licks,2720.2
licks,2720.2
licks,2720.4
licks,2720.6
licks,2720.8
licks,2754.0
licks,2754.6
licks,2755.0
licks,2755.2
licks,2755.6
licks,2756.0
licks,2756.4
licks,2756.4
licks,2756.6
licks,2756.8
licks,2756.8
licks,2757.0
licks,2757.0
licks,2757.2
licks,2757.4
licks,2757.4
licks,2757.8
licks,2796.6
licks,2842.0
licks,2842.4
licks,2842.8
licks,2843.4
licks,2843.6
licks,2843.8
licks,2843.8
licks,2844.6
licks,2844.8
licks,2845.0
licks,2845.2
licks,2845.2
licks,2845.4
licks,2846.2
licks,2846.2
licks,2846.4
licks,2846.6
licks,2865.0
licks,2865.2
licks,2865.4
licks,2865.4
licks,2865.6
licks,2865.8
licks,2865.8
licks,2866.0
licks,2882.4
licks,2882.8
licks,2882.8
licks,2883.0
licks,2883.2
licks,2883.8
licks,2884.0
licks,2884.2
licks,2884.4
licks,2884.4
licks,2884.6
licks,2884.8
licks,2885.0
licks,2885.2
licks,2885.4
licks,2885.4
licks,2885.6
licks,2885.8
licks,2885.8
licks,2886.0
licks,2886.2
licks,2886.4
licks,2887.8
licks,2893.0
licks,2893.0
licks,2893.2
licks,2893.4
licks,2893.6
licks,2893.8
licks,2894.0
licks,2894.2
licks,2904.2
licks,2904.4
licks,2936.2
licks,2936.8
licks,2937.0
licks,2937.2
licks,2937.4
licks,2937.4
licks,2937.6
licks,2937.8
licks,2938.0
licks,2938.2
licks,2938.4
licks,2938.4
licks,2938.8
licks,2938.8
licks,2939.0
licks,2939.0
licks,2939.2
licks,2939.4
licks,2939.6
licks,2939.6
licks,2939.8
licks,2940.0
licks,2940.2
licks,2943.2
licks,2947.6
licks,2947.8
licks,2948.2
licks,2948.4
licks,2949.0
licks,3002.2
licks,3002.6
licks,3003.2
licks,3003.2
licks,3003.6
licks,3003.8
licks,3004.0
licks,3004.2
licks,3004.2
licks,3004.4
licks,3004.6
licks,3004.8
licks,3005.0
licks,3005.0
licks,3005.2
licks,3005.4
licks,3005.6
licks,3005.6
licks,3005.8
licks,3006.4
licks,3006.6
licks,3007.6
licks,3007.6
licks,3007.8
licks,3019.8
licks,3026.0
plus,94.2
plus,104.2
plus,150.2
plus,220.8
plus,252.4
plus,265.8
plus,282.8
plus,298.2
plus,317.8
plus,328.8
plus,363.4
plus,417.0
plus,470.2
plus,523.2
plus,596.4
plus,631.4
plus,680.0
plus,725.4
plus,744.6
plus,860.8
plus,887.8
plus,905.0
plus,1053.6
plus,1156.2
plus,1247.0
plus,1263.6
plus,1328.4
plus,1475.6
plus,1560.4
plus,1746.0
plus,1785.6
plus,1816.2
plus,1830.8
plus,1976.8
plus,2036.0
plus,2250.4
plus,2272.0
plus,2313.2
plus,2409.4
plus,2423.6
plus,2506.0
plus,2597.8
plus,2692.4
plus,2708.4
plus,2753.2
plus,2841.6
plus,2861.8
plus,2882.2
plus,2935.6
plus,3001.6
minus,7.0
minus,61.6
minus,116.0
minus,128.8
minus,207.0
minus,375.8
minus,507.6
minus,563.2
minus,734.8
minus,754.6
minus,850.4
minus,977.6
minus,1003.4
minus,1031.0
minus,1078.2
minus,1144.6
minus,1201.8
minus,1286.8
minus,1378.2
minus,1405.6
minus,1496.4
minus,1543.2
minus,1627.8
minus,1667.6
minus,1702.4
minus,1869.0
minus,1885.2
minus,1992.8
minus,2065.2
minus,2089.8
minus,2134.2
minus,2154.4
minus,2170.0
minus,2183.6
minus,2227.6
minus,2355.2
minus,2400.2
minus,2446.4
minus,2456.0
minus,2620.0
minus,2664.4
minus,2776.8
minus,2787.2
minus,2810.0
minus,2830.6
minus,2904.2
minus,2918.6
minus,2982.6
minus,2992.2
minus,3025.6
